paragraph_id,chapter_section,lines,claim_summary,supporting_repository_assets,verification_status,confidence,notes
CH04-P001,Classification,4,"Chapter 4 is contextual, with high confidence for broad institutional chronology and lower confidence where operational manuals were not acquired; context is not case evidence.","research/intelligence/context_assessment.md; documentation/authoring/manuscript_authoring_guide.md; documentation/authoring/editorial_style_guide.md","Methodological boundary","High","No hypothesis evaluation."
CH04-P002,Context Boundary,8,"The chapter explains historical environment without arguing causation, explanation, or support for any case theory.","research/intelligence/context_assessment.md; documentation/authoring/manuscript_consistency_rules.md","Supported by context-use rule","High","Core boundary statement."
CH04-P003,Context Boundary,10,"Capabilities, social conditions, and national-security environment are not evidence of use, concealment, or intelligence connection in this case.","research/intelligence/context_assessment.md; research/intelligence/evidence_weight_matrix.csv; research/intelligence/capability_assessment.csv","Supported by intelligence framework","High","Prevents context-to-proof overreach."
CH04-P004,Australia After the Second World War,14,"Australia in 1948 was in post-war transition with demobilisation, reintegration, reconstruction, industrial change, population movement, migration policy, and shifting imperial identity.","/Users/mohnish/Downloads/deep-research-report.md; research/intelligence/context_assessment.md","Supported as contextual synthesis","Moderate","Broad context from Mission 10 report; not case-specific."
CH04-P005,Australia After the Second World War,16,"Modern readers should not assume modern identity, database, forensic, or interagency search capacity in 1948.","research/intelligence/capability_assessment.csv; research/intelligence/evidence_weight_matrix.csv; /Users/mohnish/Downloads/deep-research-report.md","Supported by capability framework","High","Contextual limit, not factual case reconstruction."
CH04-P006,Australia After the Second World War,18,"Australian citizenship was created by the Nationality and Citizenship Act 1948 and commenced on 26 January 1949; the Somerton death predates commencement.","/Users/mohnish/Downloads/deep-research-report.md; research/intelligence/capability_assessment.csv","Supported by Mission 10 context source report","High","Official primary reference should be acquired for later legal-history expansion if needed."
CH04-P007,Australia After the Second World War,20,"Migration and citizenship history explain fragmented identity systems but are not proof of any individual movement by the unknown man.","research/intelligence/context_assessment.md; research/intelligence/capability_assessment.csv; research/intelligence/key_assumptions.csv","Supported by context-use rule","High","No individual biographical inference."
CH04-P008,South Australia and Adelaide,24,"Adelaide is treated as a state capital, rail node, administrative centre, and coastal city; listed locations are ordinary operational spaces.","research/chronology/chronology_summary.md; research/database/location_register.csv; /Users/mohnish/Downloads/deep-research-report.md","Supported by project registers and context report","Moderate","No location is interpreted as clandestine."
CH04-P009,South Australia and Adelaide,26,"Railway movement, ticketing, luggage storage, and beach sightings may create leads without establishing identity, intent, or motive.","research/chronology/chronology_master.csv; research/chronology/chronology_uncertainties.csv; research/intelligence/key_assumptions.csv","Supported by chronology and assumptions registers","High","Operational caution."
CH04-P010,South Australia and Adelaide,28,"Somerton Beach is treated as an operational public location; whether it was place of death is reserved for later evidence chapters.","research/database/location_register.csv; research/physical_evidence/scene_reconstruction_database.csv; research/intelligence/intelligence_requirements.csv","Supported by location and scene registers","High","No place-of-death conclusion."
CH04-P011,South Australia and Adelaide,30,"State Records SA identifies the 1949 file and restricted 1958 pathway; SAPOL/FSSA remain central to current official status and forensic questions.","research/database/source_register.csv; research/primary_sources/restricted_unavailable_records.csv; research/osint/source_register_mission11.csv","Supported by source and restriction registers","High","Repository/custodian context."
CH04-P012,Policing and Criminal Investigation,34,"1948 police investigation relied on witness canvassing, physical property examination, photography, fingerprints, missing-person inquiries, newspapers, and inter-jurisdictional communication rather than modern DNA or digital systems.","/Users/mohnish/Downloads/deep-research-report.md; research/intelligence/capability_assessment.csv; research/intelligence/evidence_weight_matrix.csv","Supported contextual synthesis","Moderate-High","Specific manuals not acquired."
CH04-P013,Policing and Criminal Investigation,36,"Fingerprinting and dental charting were available and are represented by acquired chart reproductions, but availability did not make identification straightforward.","research/primary_sources/primary_document_inventory.csv; research/forensic_medical/forensic_identifiers_register.csv; research/primary_sources/mission_3_summary.md","Supported by acquired document inventory","High","Document presence, not identification success."
CH04-P014,Policing and Criminal Investigation,38,"Newspaper publicity could aid investigation and preserve public chronology but was lower weight than official records because of reporting and OCR limits.","research/database/source_register.csv; research/intelligence/source_reliability_matrix.csv; research/osint/source_register_mission11.csv","Supported by source reliability matrix","High","Press value and limitations."
CH04-P015,Policing and Criminal Investigation,40,"Physical objects can be documented while later custody remains weak or fragmentary.","research/physical_evidence/physical_evidence_summary.md; research/physical_evidence/chain_of_custody_confidence_matrix.csv; research/intelligence/evidence_weight_matrix.csv","Supported by physical-evidence layer","High","Defers detailed treatment to Chapter 6."
CH04-P016,Policing Capabilities Table,42-58,"Table summarizes period investigative capabilities and limitations.","research/intelligence/capability_assessment.csv; research/intelligence/evidence_weight_matrix.csv; research/intelligence/source_reliability_matrix.csv","Supported contextual table","Moderate-High","Descriptive table only."
CH04-P017,Coroners and Forensic Medicine,62,"The 1949 and 1958 inquest files are high-value records because they structure legal-medical, police, witness, and administrative evidence.","research/database/source_register.csv; research/primary_sources/primary_document_inventory.csv; research/primary_sources/mission_3_summary.md","Supported by source registers","High","No legal conclusion."
CH04-P018,Coroners and Forensic Medicine,64,"Forensic medicine could document observations and toxicology results while leaving uncertainty; suspicion, non-detection, and coronial uncertainty are separate evidentiary states.","research/forensic_medical/forensic_medical_summary.md; research/intelligence/evidence_weight_matrix.csv; research/verification/verification_summary.md","Supported by forensic-medical layer","High","Preserves uncertainty."
CH04-P019,Coroners and Forensic Medicine,66,"Mid-century toxicology was targeted rather than all-substances screening; no common poison detected and no poison present are distinct statements.","research/forensic_medical/forensic_medical_summary.md; research/intelligence/capability_assessment.csv; /Users/mohnish/Downloads/deep-research-report.md","Supported by forensic and context assets","High","Avoids banned overclaim."
CH04-P020,Coroners and Forensic Medicine,68,"DNA and genetic genealogy were unavailable to the original investigation and modern results require official/lab documentation controls.","research/osint/mission_11_summary.md; research/osint/source_register_mission11.csv; research/publication/identity_status_guidance.md","Supported by OSINT and identity guidance","High","No official identity finding."
CH04-P021,Forensic Capabilities Table,70-86,"Table summarizes forensic and medical capabilities and cautions.","research/forensic_medical/forensic_medical_summary.md; research/intelligence/capability_assessment.csv; research/intelligence/evidence_weight_matrix.csv","Supported contextual table","High","No medical conclusion beyond limitations."
CH04-P022,Communications and Identity,90,"Late-1940s communication and identity records were fragmented and not unified into searchable digital systems.","research/intelligence/capability_assessment.csv; /Users/mohnish/Downloads/deep-research-report.md","Supported contextual synthesis","High","General context."
CH04-P023,Communications and Identity,92,"Rail tickets and transport records are operational evidence but not biography by themselves.","research/chronology/chronology_master.csv; research/intelligence/key_assumptions.csv; documentation/authoring/manuscript_consistency_rules.md","Supported by chronology and assumptions framework","High","No movement inference."
CH04-P024,Communications and Identity,94,"Telephone numbers and address leads require provenance, dating, ownership, user, and source linkage before interpretive weight is assigned.","research/indexes/cross_reference_map.csv; research/victimology/relationship_map.csv; research/intelligence/key_assumptions.csv","Supported by cross-reference/assumptions assets","High","Prevents social-network overclaim."
CH04-P025,Communications and Identity,96,"Hotel stays, cloakrooms, books, and possessions may be ordinary artifacts or investigative leads depending on source-mapped connection.","research/database/evidence_register.csv; research/physical_evidence/physical_evidence_summary.md; research/intelligence/evidence_weight_matrix.csv","Supported by evidence-weighting framework","High","General operational caution."
CH04-P026,Intelligence Environment,100,"ASIO was established by directive on 16 March 1949; Somerton death predates formal ASIO but occurred in the broader preceding security climate.","research/database/source_register.csv; /Users/mohnish/Downloads/deep-research-report.md; research/intelligence/evidence_weight_matrix.csv","Supported by NAA source register and context report","High for ASIO date; Low for case linkage","No intelligence-service claim."
CH04-P027,Intelligence Environment,102,"British/allied cooperation, Venona context, weapons research, and security concern are contextual and do not show case intelligence involvement.","research/intelligence/context_assessment.md; research/intelligence/evidence_weight_matrix.csv; research/intelligence/intelligence_confidence_register.csv","Supported by intelligence framework","High","Explicitly separates context from proof."
CH04-P028,Intelligence Environment,104,"Woomera is real context but no acquired record places the unknown man in Woomera work or links the death to an intelligence operation.","research/database/source_register.csv; research/intelligence/context_assessment.md; research/intelligence/intelligence_requirements.csv; /Users/mohnish/Downloads/deep-research-report.md","Supported by context/gap assets","High for context; Very Low for case proof","No direct linkage."
CH04-P029,Intelligence Environment,106,"Known espionage activity and security anxiety are environmental context only; they do not explain the death without case evidence.","research/intelligence/context_assessment.md; research/intelligence/evidence_weight_matrix.csv; research/intelligence/key_assumptions.csv","Supported by intelligence framework","High","No hypothesis evaluation."
CH04-P030,Intelligence Context Table,108-123,"Table summarizes intelligence-environment items and case-specific evidence status.","research/intelligence/capability_assessment.csv; research/intelligence/evidence_weight_matrix.csv; research/intelligence/intelligence_confidence_register.csv; research/database/source_register.csv","Supported contextual table","High","Guardrail table."
CH04-P031,Everyday Explanations,127,"Features considered suspicious can also arise in ordinary life; ordinary possibilities should not be excluded without evidence.","research/intelligence/key_assumptions.csv; research/intelligence/devils_advocate_review.md; research/intelligence/context_assessment.md","Supported by structured analytic assets","High","No explanation selected."
CH04-P032,Everyday Explanations,129,"Clothing labels can be absent or removed for ordinary or deliberate reasons; case evidence does not identify actor, timing, or motive by itself.","research/intelligence/capability_assessment.csv; research/intelligence/key_assumptions.csv; research/physical_evidence/physical_evidence_summary.md","Supported by capability and physical-evidence assets","Moderate-High","Ordinary examples partly contextual; no motive assigned."
CH04-P033,Everyday Explanations,131,"Travel with limited durable records was less unusual in paper-based systems; cash, public transport, short stays, cloakrooms, and informal movement should not be upgraded into tradecraft without corroboration.","research/intelligence/capability_assessment.csv; /Users/mohnish/Downloads/deep-research-report.md; research/intelligence/key_assumptions.csv","Supported contextual synthesis","Moderate","Operational records remain incomplete."
CH04-P034,Everyday Explanations,133,"Book ownership and literary material require restraint; Rubaiyat/Tamam Shud evidence exists but meaning remains separate and unresolved.","research/database/evidence_register.csv; research/physical_evidence/physical_evidence_summary.md; research/intelligence/evidence_weight_matrix.csv","Supported by evidence layer","High","No code interpretation."
CH04-P035,Everyday Explanations,135,"Hotel anonymity, public beach presence, and incomplete identity records can have ordinary explanations and investigative significance without selecting a conclusion.","research/intelligence/context_assessment.md; research/intelligence/key_assumptions.csv","Supported by assumptions framework","Moderate","Contextual caution."
CH04-P036,Capability Summary,139-157,"Capability matrix separates historically documented or plausible context from case-specific proof across identity, label removal, poison, books, staging, and intelligence activity.","research/intelligence/capability_assessment.csv; research/intelligence/evidence_weight_matrix.csv; research/intelligence/intelligence_confidence_register.csv","Supported by capability/evidence matrices","High","No capability is treated as proof of use."
CH04-P037,Contextual Conclusion,161,"The historical environment explains difficulty and later interpretive overreach: fragmented identity systems, limited forensic tools, paper records, newspaper publicity, and national-security anxieties.","research/intelligence/context_assessment.md; research/intelligence/capability_assessment.csv; research/intelligence/evidence_weight_matrix.csv","Supported contextual synthesis","High","Summary only."
CH04-P038,Contextual Conclusion,163,"The chapter treats context as a lens for interpretation, not proof of a theory.","research/intelligence/context_assessment.md; documentation/authoring/editorial_style_guide.md","Supported by context-use rule","High","Closing boundary statement."
