paragraph_id,chapter_section,lines,claim_summary,supporting_repository_assets,verification_status,confidence,notes
CH06-P001,Classification,4,"Chapter 6 is a physical-evidence inventory and does not infer ownership, motive, cause of death, or significance beyond documented evidence.","documentation/authoring/manuscript_authoring_guide.md; documentation/authoring/editorial_style_guide.md; research/physical_evidence/physical_evidence_summary.md","Methodological boundary","High","No hypothesis evaluation."
CH06-P002,Overview of Physical Evidence,8,"The physical-evidence layer contains 34 catalogue entries, 14 scene components, 34 custody entries, 10 preservation entries, and 10 unresolved questions.","research/physical_evidence/physical_evidence_catalogue.csv; research/physical_evidence/scene_reconstruction_database.csv; research/physical_evidence/chain_of_custody_confidence_matrix.csv; research/physical_evidence/preservation_history.csv; research/physical_evidence/physical_evidence_uncertainties.csv","Verified from registers","High","Database counts."
CH06-P003,Overview of Physical Evidence,10,"The catalogue covers body/scene, clothing, pocket property, tickets, suitcase, Tamam Shud and Rubaiyat material, forensic identifiers, environmental observations, and preservation records.","research/physical_evidence/physical_evidence_catalogue.csv","Verified from catalogue","High","Category synthesis."
CH06-P004,Overview of Physical Evidence,12,"No physical-evidence entry has a complete custody trail; 29 are fragmentary, 4 unknown, and 1 not applicable.","research/physical_evidence/chain_of_custody_confidence_matrix.csv; research/physical_evidence/physical_evidence_summary.md","Verified from custody matrix","High","Custody limitation is central."
CH06-P005,Physical Evidence Category Summary,14-29,"Table summarizes catalogue, scene, custody, preservation, and uncertainty register counts.","research/physical_evidence/physical_evidence_catalogue.csv; research/physical_evidence/scene_reconstruction_database.csv; research/physical_evidence/chain_of_custody_confidence_matrix.csv; research/physical_evidence/preservation_history.csv; research/physical_evidence/physical_evidence_uncertainties.csv","Verified from registers","High","Chapter-level table."
CH06-P006,Discovery Scene,33,"The body location and orientation are recorded near Somerton Beach seawall with head/shoulders supported, head inclined right, feet toward sea/west, and arm positions described.","research/physical_evidence/scene_reconstruction_database.csv; research/physical_evidence/physical_evidence_source_map.csv","Source-mapped scene reconstruction","High","SCN-0001 and SCN-0002."
CH06-P007,Discovery Scene,35,"The partly smoked cigarette is recorded as a scene/body-adjacent observation, not a recovered and tested exhibit.","research/physical_evidence/scene_reconstruction_database.csv; research/physical_evidence/physical_evidence_catalogue.csv; research/indexes/exhibit_index.csv","Source-mapped observation","Moderate","PE-0002; SCN-0007."
CH06-P008,Discovery Scene,37,"Distance and environmental information remain incomplete; no original scene sketch was acquired.","research/physical_evidence/scene_reconstruction_database.csv; research/physical_evidence/physical_evidence_uncertainties.csv","Source-mapped limitation","Moderate","SCN-0003 to SCN-0006."
CH06-P009,Discovery Scene,39,"Scene documentation is limited because original scene-photo set, precise measurements, and scene diagram are not preserved locally as publication-cleared materials.","research/physical_evidence/preservation_history.csv; research/physical_evidence/physical_evidence_uncertainties.csv","Preservation limitation","High","PRH-0004; PEU-0006."
CH06-P010,Figure Placeholder,41-46,"No publication-cleared physical-evidence image was inserted; placeholder records rights/custody limitation.","research/physical_evidence/preservation_history.csv; manuscript/chapter_reviews/chapter06_validation_report.md","Publication boundary","High","No copyrighted image inserted."
CH06-P011,Clothing,50,"PE-0003 records body clothing ensemble mapped to EV-0005; current location and survival status unknown.","research/physical_evidence/physical_evidence_catalogue.csv; research/indexes/exhibit_index.csv","Verified from catalogue","High existence; Moderate details","PE-0003; EXH-0011."
CH06-P012,Clothing,52,"PE-0004 records body and suitcase tie evidence including T. Keane reference, without resolving ownership or survival.","research/physical_evidence/physical_evidence_catalogue.csv","Verified from catalogue","Moderate","PE-0004."
CH06-P013,Clothing,54,"PE-0005 supports shoe existence and condition observations without gait, occupation, travel, or status inference.","research/physical_evidence/physical_evidence_catalogue.csv","Verified from catalogue","High for condition observations","PE-0005."
CH06-P014,Clothing,56,"PE-0006 records socks and associated vegetation uncertainty; exact type, condition, retention, and vegetation preservation unknown.","research/physical_evidence/physical_evidence_catalogue.csv; research/physical_evidence/physical_evidence_uncertainties.csv","Verified with uncertainty","Moderate","PE-0006; PE-0024."
CH06-P015,Clothing,58,"PE-0007 records missing/removed labels while preserving Cleland limitation on recency; no timing, intent, or concealment conclusion is drawn.","research/physical_evidence/physical_evidence_catalogue.csv; research/physical_evidence/physical_evidence_uncertainties.csv","Verified with limitation","Moderate","PE-0007; PEU-0003."
CH06-P016,Personal Property,62,"PE-0008 and PE-0009 record rail and bus tickets, but not purchaser identity or full route travelled.","research/physical_evidence/physical_evidence_catalogue.csv; research/chronology/chronology_master.csv","Verified with limitation","High","PE-0008; PE-0009."
CH06-P017,Personal Property,64,"PE-0002 and PE-0010 separate observed cigarette placement from cigarette packet inventory, with no confirmed saliva, fingerprint, brand-comparison, or toxicological examination.","research/physical_evidence/physical_evidence_catalogue.csv; research/forensic_medical/toxicology_register.csv","Verified with limitation","Moderate","PE-0002; PE-0010."
CH06-P018,Personal Property,66,"PE-0011, PE-0012, and PE-0013 are inventory items only and do not support behavioural inference.","research/physical_evidence/physical_evidence_catalogue.csv","Verified from catalogue","Moderate","Matches, combs, chewing gum."
CH06-P019,Personal Property,68,"PE-0033 records a low-confidence OCR-dependent 2s 6d cash entry requiring visual confirmation.","research/physical_evidence/physical_evidence_catalogue.csv","Low-confidence catalogue item","Low","PE-0033."
CH06-P020,Suitcase and Contents,72,"PE-0017 records unclaimed suitcase, Leane 1949-01-14 location, police possession 1949-01-19, and PE-0018 luggage ticket; depositor identity unknown.","research/physical_evidence/physical_evidence_catalogue.csv; research/chronology/chronology_master.csv; research/indexes/exhibit_index.csv","Verified with custody limitation","High for existence; Moderate custody","PE-0017; PE-0018."
CH06-P021,Suitcase and Contents,74,"Suitcase evidence supports existence, police possession, and internal association evidence, not ownership, complete custody, complete inventory, or current survival.","research/physical_evidence/physical_evidence_catalogue.csv; research/physical_evidence/chain_of_custody_confidence_matrix.csv; research/physical_evidence/preservation_history.csv","Verified with limitation","High/Moderate","PRH-0007; PECOC-0017."
CH06-P022,Suitcase and Contents,76,"PE-0019 records suitcase clothing and textiles with moderate confidence due OCR distortion and missing verified layout.","research/physical_evidence/physical_evidence_catalogue.csv","Verified with limitation","Moderate","PE-0019."
CH06-P023,Suitcase and Contents,78,"PE-0020 records suitcase tools and personal articles with limited examination, without occupational inference.","research/physical_evidence/physical_evidence_catalogue.csv","Verified with limitation","Moderate","PE-0020; PE-0034."
CH06-P024,Suitcase and Contents,80,"PE-0021 records six pencils or writing implements, without establishing relation to the Rubaiyat code or technical occupation.","research/physical_evidence/physical_evidence_catalogue.csv","Verified with limitation","Moderate","PE-0021."
CH06-P025,Suitcase and Contents,82,"PE-0022 records warm sepia/orange/tan thread correspondence testimony but not ownership proof or retained sample status.","research/physical_evidence/physical_evidence_catalogue.csv; research/physical_evidence/physical_evidence_uncertainties.csv","Verified with limitation","High testimony; Moderate physical evidence","PE-0022; PEU-0005."
CH06-P026,Tamam Shud Slip,86,"PE-0014 records Tamam Shud slip existence, fob-pocket association, paper inquiry, and exhibit handling.","research/physical_evidence/physical_evidence_catalogue.csv; research/indexes/exhibit_index.csv","Verified with custody limitation","High existence; Moderate custody","PE-0014; EXH-0009."
CH06-P027,Tamam Shud Slip,88,"Slip custody is fragmentary; exact discovery date/time and finder sequence unresolved.","research/physical_evidence/chain_of_custody_confidence_matrix.csv; research/physical_evidence/physical_evidence_uncertainties.csv","Unresolved details","High for gap","PEU-0001."
CH06-P028,Tamam Shud Slip,90,"Known examination is limited to textual/paper comparison and inquiries; no acquired fibre, chemical, or modern physical report; current physical status unknown.","research/physical_evidence/physical_evidence_catalogue.csv; research/physical_evidence/preservation_history.csv","Verified with limitation","Moderate","PRH-0009."
CH06-P029,Rubaiyat,94,"PE-0015 records Brown comparison and coroner association with second edition Fitzgerald Rubaiyat.","research/physical_evidence/physical_evidence_catalogue.csv; research/indexes/exhibit_index.csv","Partially verified / documented association","Moderate","PE-0015; EXH-0015."
CH06-P030,Rubaiyat,96,"Associated original book recovery, owner/finder, edition, tear-match, and current location remain unresolved.","research/physical_evidence/physical_evidence_uncertainties.csv; research/physical_evidence/chain_of_custody_confidence_matrix.csv","Unresolved","Critical","PEU-0010."
CH06-P031,Rubaiyat,98,"PE-0016 records local digital code image but original book/police custody unresolved; code analysis deferred.","research/physical_evidence/physical_evidence_catalogue.csv; research/physical_evidence/preservation_history.csv","Verified digital copy; original custody unresolved","Moderate digital; Low original custody","PE-0016; PRH-0001."
CH06-P032,Biological Evidence,102,"PE-0025 records fingerprints and local digital reproduction; original chart and bureau replies not acquired.","research/physical_evidence/physical_evidence_catalogue.csv; research/forensic_medical/forensic_identifiers_register.csv; research/physical_evidence/preservation_history.csv","Verified with custody limitation","High existence; Moderate custody","PE-0025; FID-0003/FID-0004."
CH06-P033,Biological Evidence,104,"PE-0026 records dental chart and local reproduction; exact dental notation requires specialist/manual transcription.","research/physical_evidence/physical_evidence_catalogue.csv; research/forensic_medical/forensic_identifiers_register.csv","Verified with limitation","High existence; Moderate details","PE-0026; FID-0001/FID-0002."
CH06-P034,Biological Evidence,106,"PE-0027 records death mask/bust creation and exhibit marking; current custody low and appearance inference limited by embalming/postmortem change.","research/physical_evidence/physical_evidence_catalogue.csv; research/forensic_medical/forensic_identifiers_register.csv","Verified creation; custody unresolved","High creation; Low current custody","PE-0027; FID-0006."
CH06-P035,Biological Evidence,108,"PE-0028 hair has weak primary support as preserved exhibit in acquired 1949 material; later hair/exhumation claims require official source, custody, and lab records.","research/physical_evidence/physical_evidence_catalogue.csv; research/database/evidence_register.csv","Weak primary support","Low","PE-0028; EV-0006."
CH06-P036,Biological Evidence,110,"PE-0029 records biological specimens submitted to Cowan; present availability unknown and no retention/disposal record acquired.","research/physical_evidence/physical_evidence_catalogue.csv; research/forensic_medical/toxicology_register.csv; research/physical_evidence/preservation_history.csv","Verified submission; preservation unresolved","High 1948 submission; Low present preservation","PE-0029; PRH-0010."
CH06-P037,Chain of Custody,114,"Custody matrix contains 34 entries: 29 fragmentary, 4 unknown, 1 not applicable, and no complete custody trail.","research/physical_evidence/chain_of_custody_confidence_matrix.csv; research/physical_evidence/physical_evidence_summary.md","Verified from custody matrix","High","Custody summary."
CH06-P038,Chain of Custody,116,"Fragmentary custody separates documented existence/observation from incomplete later movement, storage, transfer, destruction, or custodian records.","research/physical_evidence/chain_of_custody_confidence_matrix.csv","Methodological explanation","High","Custody concept."
CH06-P039,Chain of Custody,118,"Unknown custody applies to PE-0023, PE-0024, PE-0028, and PE-0033.","research/physical_evidence/chain_of_custody_confidence_matrix.csv","Verified from custody matrix","High","Unknown custody subset."
CH06-P040,Chain-of-Custody Summary Table,120-136,"Table summarizes complete, mostly complete, fragmentary, unknown, lost, and not-applicable custody counts.","research/physical_evidence/chain_of_custody_confidence_matrix.csv","Verified from custody matrix","High","Chapter-level table."
CH06-P041,Preservation History,140,"Preservation register contains 10 entries with three local digital copies, two reference-only photo records, unverified death-mask status, unknown suitcase/clothing/slip status, and likely unavailable but unverified biological specimens.","research/physical_evidence/preservation_history.csv","Verified from preservation register","High","PRH-0001 to PRH-0010."
