Paragraph ID,Chapter Location,Paragraph Scope,Supporting Repository Assets,Support Type,Confidence,Notes
CH10-P001,Lines 4-4,Classification and confidence baseline,"research/intelligence/intelligence_confidence_register.csv; research/intelligence/analysis_of_competing_hypotheses.csv",Analytic framing,High,"Defines assessment boundary and confidence posture."
CH10-P002,Lines 8-8,Structured analytic methods used,"research/intelligence/context_assessment.md; research/intelligence/analysis_of_competing_hypotheses.csv; research/intelligence/evidence_weight_matrix.csv; research/intelligence/key_assumptions.csv; research/intelligence/source_reliability_matrix.csv; research/intelligence/intelligence_requirements.csv",Method summary,High,"Uses project-native intelligence assets."
CH10-P003,Lines 10-10,Distinction between case evidence context and diagnosticity,"research/intelligence/context_assessment.md; research/intelligence/source_reliability_matrix.csv",Method rule,High,"Prevents context-to-proof conversion."
CH10-P004,Lines 12-12,Historical context use rule,"research/intelligence/context_assessment.md; research/intelligence/capability_assessment.csv",Method rule,High,"Context can explain capability but cannot prove case-specific event."
CH10-P005,Lines 16-18,Evidence weighting prose,"research/intelligence/evidence_weight_matrix.csv",Matrix synthesis,High,"Summarizes EWM-001 through EWM-006."
CH10-P006,Lines 20-42,Evidence-weight matrix table,"research/intelligence/evidence_weight_matrix.csv",Register extraction,High,"Table mirrors evidence clusters and weights."
CH10-P007,Lines 46-46,ACH register function,"research/intelligence/analysis_of_competing_hypotheses.csv",Method summary,High,"States no ranking of favoured theory."
CH10-P008,Lines 48-70,ACH matrix table,"research/intelligence/analysis_of_competing_hypotheses.csv",Register extraction,High,"Table mirrors ACH-001 through ACH-006."
CH10-P009,Lines 72-76,Natural death assessment,"research/intelligence/analysis_of_competing_hypotheses.csv ACH-001; research/forensic_medical/forensic_medical_summary.md; research/forensic_medical/medical_uncertainties.csv",Hypothesis assessment,Moderate,"Low-Moderate confidence retained."
CH10-P010,Lines 78-82,Accidental poisoning assessment,"research/intelligence/analysis_of_competing_hypotheses.csv ACH-002; research/forensic_medical/toxicology_register.csv; research/forensic_medical/medical_uncertainties.csv",Hypothesis assessment,Moderate,"No substance or exposure pathway asserted."
CH10-P011,Lines 84-88,Suicide assessment,"research/intelligence/analysis_of_competing_hypotheses.csv ACH-003; research/victimology/victimology_summary.md",Hypothesis assessment,Low,"Notes absent intent/access evidence."
CH10-P012,Lines 90-94,Homicide assessment,"research/intelligence/analysis_of_competing_hypotheses.csv ACH-004; research/physical_evidence/physical_evidence_summary.md; research/chronology/chronology_master.csv",Hypothesis assessment,Low-Moderate,"Permissive evidence separated from diagnostic evidence."
CH10-P013,Lines 96-100,Espionage assessment,"research/intelligence/analysis_of_competing_hypotheses.csv ACH-005; research/intelligence/context_assessment.md; research/intelligence/capability_assessment.csv",Hypothesis assessment,Very Low direct case proof,"Historical plausibility separated from direct linkage."
CH10-P014,Lines 102-106,Unknown or indeterminate assessment,"research/intelligence/analysis_of_competing_hypotheses.csv ACH-006; research/intelligence/intelligence_confidence_register.csv ICA-006",Integrative assessment,Moderate-High,"Keeps unresolved state rather than mechanism theory."
CH10-P015,Lines 110-112,Capability assessment prose,"research/intelligence/capability_assessment.csv",Capability synthesis,High context; Low to Moderate case relevance,"Separates historical capability from case-specific evidence."
CH10-P016,Lines 114-136,Capability matrix table,"research/intelligence/capability_assessment.csv",Register extraction,High,"Table mirrors CAP-001 through CAP-006."
CH10-P017,Lines 140-140,Key assumptions overview,"research/intelligence/key_assumptions.csv",Assumption-control summary,High,"Assumptions not upgraded to facts."
CH10-P018,Lines 142-161,Assumption review table,"research/intelligence/key_assumptions.csv",Register extraction,High,"Table mirrors ASM-001 through ASM-006."
CH10-P019,Lines 165-167,Source reliability prose,"research/intelligence/source_reliability_matrix.csv",Source reliability synthesis,High,"Follows project source hierarchy."
CH10-P020,Lines 169-188,Source reliability table,"research/intelligence/source_reliability_matrix.csv",Register extraction,High,"Table mirrors SRM-001 through SRM-006."
CH10-P021,Lines 192-192,Confidence scale explanation,"research/intelligence/intelligence_confidence_register.csv; methodology chapter",Confidence methodology,High,"Evidence quality not narrative probability."
CH10-P022,Lines 194-213,Confidence summary table,"research/intelligence/intelligence_confidence_register.csv",Register extraction,High,"Table mirrors ICA-001 through ICA-006."
CH10-P023,Lines 217-217,Strongest supported observations,"research/verification/verification_matrix.csv; research/chronology/chronology_master.csv; research/forensic_medical/forensic_medical_summary.md; research/physical_evidence/physical_evidence_summary.md",Synthesis,Moderate to High,"Summarizes cross-chapter evidence, not new research."
CH10-P024,Lines 219-219,Least supported claims,"research/intelligence/key_assumptions.csv; research/intelligence/devils_advocate_review.md; research/osint/conflicts_with_previous_assessment.md",Synthesis and assumption check,High,"Downgrades unsupported inference patterns."
CH10-P025,Lines 221-221,Major unresolved questions and signposts,"research/intelligence/intelligence_requirements.csv; research/intelligence/indicators_and_signposts.csv",Intelligence requirements,High,"Maps future evidence needs."
CH10-P026,Lines 223-223,Overall discrimination limit and integrative posture,"research/intelligence/analysis_of_competing_hypotheses.csv; research/intelligence/intelligence_confidence_register.csv; research/intelligence/context_assessment.md",Overall assessment,Moderate-High,"Required diagnostic-evidence language included."
