Paragraph ID,Chapter Location,Paragraph Scope,Supporting Repository Assets,Support Type,Confidence,Notes
CH09-P001,Lines 4-4,Classification and scope,"manuscript_authoring_guide; controlled vocabulary; forensic_medical_summary.md",Methodological control,High,"Defines source-confidence baseline and excludes hypothesis evaluation."
CH09-P002,Lines 8-8,Forensic-medical register counts,"medical_observation_register.csv; toxicology_register.csv; time_of_death_register.csv; forensic_identifiers_register.csv; medical_uncertainties.csv; medical_transcription_index.csv",Register summary,High,"Counts match active forensic-medical layer."
CH09-P003,Lines 10-10,Medical witness/source roles,"medical_transcriptions.md; forensic_medical_summary.md; witness_index.csv",Source synthesis,High,"Names roles only; no credibility conclusion."
CH09-P004,Lines 12-12,Unresolved cause control statement,"medical_observation_register.csv MED-0018; TOX-0001; forensic_medical_summary.md; medical_uncertainties.csv MU-0001",Evidence synthesis,High,"Uses controlled wording on common-poison testing and unresolved cause."
CH09-P005,Lines 14-30,Forensic-medical register summary table,"forensic_medical_summary.md; forensic-medical CSV registers",Register summary,High,"Aggregates register counts for reader orientation."
CH09-P006,Lines 34-34,External description and grooming observations,"medical_observation_register.csv MED-0001; MED-0002; medical_transcriptions.md",Direct observation summary,High,"Explicitly prevents lifestyle or occupation inference."
CH09-P007,Lines 36-36,External trauma and injection observations,"medical_observation_register.csv MED-0003; MED-0019; MED-0020",Direct observation summary,Moderate to High,"Marks missing full autopsy/body-map limitation."
CH09-P008,Lines 38-38,Rigor and lividity observations,"medical_observation_register.csv MED-0004; MED-0031; MED-0037; time_of_death_register.csv",Direct observation and later interpretation,Moderate to High,"Separates body-position relevance from proof."
CH09-P009,Lines 40-40,Other external observations,"medical_observation_register.csv MED-0005 through MED-0008; FID-0001; FID-0002",Direct observation summary,High,"Preserves interpretation limits."
CH09-P010,Lines 44-44,Internal head/pharynx/gullet/stomach observations,"medical_observation_register.csv MED-0009; MED-0010; MED-0011",Direct observation summary,High,"No cause-of-death conversion."
CH09-P011,Lines 46-46,Stomach blood and digestion timing,"medical_observation_register.csv MED-0012; MED-0016; TOD-0003",Direct observation plus timing caveat,Moderate to High,"Final-meal timing kept imprecise."
CH09-P012,Lines 48-48,Organ congestion and heart/spleen findings,"medical_observation_register.csv MED-0013; MED-0014; MED-0015",Direct observation summary,High,"No disease-cause conclusion."
CH09-P013,Lines 50-50,Liver microscopy limitation,"medical_observation_register.csv MED-0017; MED-0035",Partial documentation,Moderate,"OCR and later interpretation limit precision."
CH09-P014,Lines 52-79,Selected medical observations table,"medical_observation_register.csv selected rows; medical_transcriptions.md",Register extraction,High,"Table selects high-value observations."
CH09-P015,Lines 83-83,Cowan specimen receipt and common-poison result,"toxicology_register.csv TOX-0001; medical_observation_register.csv MED-0022; MED-0023",Direct toxicology evidence,High,"Does not overstate negative result."
CH09-P016,Lines 85-85,Toxicology substances/classes considered,"toxicology_register.csv TOX-0002 through TOX-0014",Register synthesis,Moderate,"None recorded as detected in acquired primary text."
CH09-P017,Lines 87-87,Toxicology limitations,"toxicology_register.csv; forensic_medical_summary.md; medical_uncertainties.csv MU-0002",Limitations statement,High,"Identifies missing lab-method evidence."
CH09-P018,Lines 89-89,Dwyer, Cleland, Hicks toxicology interpretation limits,"medical_transcriptions.md; toxicology_register.csv TOX-0004; TOX-0005; TOX-0014",Source synthesis,Moderate,"OCR-obscured terms not named."
CH09-P019,Lines 91-116,Toxicology summary table,"toxicology_register.csv selected rows",Register extraction,High,"Uses detected/status fields conservatively."
CH09-P020,Lines 120-120,Bennett timing estimate,"time_of_death_register.csv TOD-0001; TOD-0002; chronology_master.csv",Timing evidence,Moderate,"Approximate time only."
CH09-P021,Lines 122-122,Timing limitations,"time_of_death_register.csv TOD-0002; TOD-0003; forensic_medical_summary.md",Limitations statement,High,"Notes cursory observation and digestion caveat."
CH09-P022,Lines 124-124,Conditional interpretive timing,"time_of_death_register.csv TOD-0005; TOD-0007",Conflict/uncertainty statement,Moderate to Low,"Does not adopt low-confidence estimate."
CH09-P023,Lines 126-141,Time-of-death table,"time_of_death_register.csv selected rows",Register extraction,High,"Flags limitations by source."
CH09-P024,Lines 145-145,Identifier register overview,"forensic_identifiers_register.csv",Register summary,High,"Separates identification value from medical causation."
CH09-P025,Lines 147-147,Dental chart and limitations,"forensic_identifiers_register.csv FID-0001; FID-0002; DOC-0017",Documented identifier,High,"Exact notation unresolved."
CH09-P026,Lines 149-149,Fingerprints and circulation,"forensic_identifiers_register.csv FID-0003; FID-0004; DOC-0016",Documented identifier,High,"Original search logs incomplete."
CH09-P027,Lines 151-151,Death mask/bust and biological samples,"forensic_identifiers_register.csv FID-0006; FID-0009; medical_observation_register.csv MED-0027",Documented identifier/material evidence,High,"Living-appearance and retention limits preserved."
CH09-P028,Lines 153-177,Identification material table,"forensic_identifiers_register.csv selected rows",Register extraction,High,"Summarizes evidentiary value and limitations."
CH09-P029,Lines 181-181,Modern exhumation and researcher-led attribution,"Mission 11 OSINT expansion; identity_status_guidance.md",Modern forensic status,Moderate,"Uses controlled identity language."
CH09-P030,Lines 183-183,Missing official modern reports,"Mission 11 OSINT expansion; current-status guardrail; identity_status_guidance.md",Gap statement,High,"Does not claim official identification finality."
CH09-P031,Lines 185-185,Modern forensic work does not resolve cause here,"forensic_medical_summary.md; Mission 11 OSINT expansion",Scope control,High,"Separates identity and medical-cause questions."
CH09-P032,Lines 189-193,Medical assessment and uncertainty control,"medical_observation_register.csv; toxicology_register.csv; forensic_identifiers_register.csv; medical_uncertainties.csv",Evidence synthesis,High,"No final cause, detected poison, or all-poisons exclusion stated."
CH09-P033,Lines 195-215,Medical uncertainty register table,"medical_uncertainties.csv",Register extraction,High,"Preserves unresolved questions."
