paragraph_id,chapter_section,lines,claim_summary,supporting_repository_assets,verification_status,confidence,notes
CH01-P001,Purpose,8,"The dossier assesses the death and post-discovery investigation of the unknown man found at Somerton Beach on 1 December 1948 and separates evidence from unsupported claims.","research/verification/verification_summary.md; research/chronology/chronology_summary.md; research/manuscript_blueprint/chapter_evidence_map.csv; research/publication/controlled_vocabulary.csv","Supported by completed research outputs","High","Discovery date is one of the highest-confidence findings in Mission 4."
CH01-P002,Purpose,10,"The assessment is an intelligence-style case review governed by traceability across the project registers.","documentation/authoring/manuscript_authoring_guide.md; documentation/authoring/editorial_style_guide.md; research/publication/repository_freeze_report.md; research/manuscript_blueprint/manuscript_blueprint.md","Methodological statement","High","No new factual case claim introduced."
CH01-P003,Methodology,14,"The prior analytical dossier was treated as a claim source and checked against acquired records and OSINT updates.","documentation/workflows/VERIFICATION_WORKFLOW.md; documentation/workflows/RESEARCH_WORKFLOW.md; research/verification/verification_summary.md; research/osint/mission_11_summary.md; research/database/decision_log.csv","Supported by project methodology","High","Matches DEC-0001 and authoring framework."
CH01-P004,Methodology,16,"The evidence hierarchy prioritizes official and contemporary records and preserves conflicts without assumption.","documentation/authoring/manuscript_authoring_guide.md; documentation/workflows/VERIFICATION_WORKFLOW.md; research/intelligence/source_reliability_matrix.csv","Supported by authoring framework","High","No case-specific conclusion introduced."
CH01-P005,Evidence Base,20,"The repository contains source, verification, chronology, witness, victimology, forensic, physical evidence, intelligence, OSINT, vocabulary, and publication-readiness layers.","research/database/mission_2_summary.md; research/primary_sources/mission_3_summary.md; research/verification/verification_summary.md; research/chronology/chronology_summary.md; research/indexes/mission_6_summary.md; research/victimology/victimology_summary.md; research/forensic_medical/forensic_medical_summary.md; research/physical_evidence/physical_evidence_summary.md; research/intelligence/context_assessment.md; research/osint/mission_11_summary.md; research/publication/mission_12_5_summary.md","Supported by mission outputs","High","Repository summary only."
CH01-P006,Evidence Base,22,"Mission 4 reviewed 75 claims: 6 verified, 14 partially verified, 31 unsupported, and 24 unable to verify.","research/verification/verification_summary.md","Verified project count","High","Counts copied from Mission 4 summary."
CH01-P007,Principal Findings Table,34-40,"Table summarizes discovery, chronology, identity, medical, physical evidence, Rubaiyat, and intelligence-linkage assessments.","research/verification/verification_summary.md; research/chronology/chronology_summary.md; research/osint/executive_summary.md; research/forensic_medical/forensic_medical_summary.md; research/physical_evidence/physical_evidence_summary.md; research/intelligence/intelligence_confidence_register.csv; research/publication/identity_status_guidance.md","Supported synthesis","Mixed","Table preserves confidence differences by area."
CH01-P008,Principal Findings,45,"Strongest verified findings concern discovery, transport-ticket evidence, Tamam Shud slip association, and undetermined cause of death.","research/verification/verification_summary.md; research/verification/analytical_confidence_register.csv","Supported by verified/partially verified claims","High","Uses Mission 4 highest-confidence findings."
CH01-P009,Principal Findings,47,"Many physical artefacts are documented but later custody is weak; Mission 9 records no complete or mostly complete physical-evidence custody trails.","research/physical_evidence/physical_evidence_summary.md; research/physical_evidence/chain_of_custody_confidence_matrix.csv","Supported by Mission 9 custody matrix","Moderate-High","Physical-evidence existence stronger than custody continuity."
CH01-P010,Principal Uncertainties,51,"The Webb attribution is a strengthened researcher/lab-led identification lead pending official coroner/SAPOL determination.","research/osint/executive_summary.md; research/osint/mission_11_summary.md; research/publication/identity_status_guidance.md; research/database/decision_log.csv","Supported OSINT update with official-status caveat","Moderate","Follows required controlled wording."
