paragraph_id,chapter_section,lines,claim_summary,supporting_repository_assets,verification_status,confidence,notes
CH05-P001,Classification,4,"Chapter 5 is a chronology reconstruction using verified, partially verified, and unable-to-verify chronology categories without hypothesis evaluation.","research/chronology/chronology_master.csv; research/chronology/chronology_summary.md; documentation/authoring/manuscript_authoring_guide.md","Methodological boundary","High","No motive, cause, or identity inference."
CH05-P002,Chronology Control,8,"The chapter reconstructs events from chronology_master.csv, chronology_uncertainties.csv, and event_source_map.csv for orientation rather than explanation.","research/chronology/chronology_master.csv; research/chronology/chronology_uncertainties.csv; research/chronology/event_source_map.csv","Supported by repository design","High","Source-mapped chronology layer only."
CH05-P003,Chronology Control,10,"The admitted chronology contains 24 events: 11 verified, 11 partially verified, 2 unable-to-verify later placeholders, and 8 removed or unsupported timeline claims logged as uncertainties.","research/chronology/chronology_summary.md; research/chronology/chronology_master.csv; research/chronology/chronology_uncertainties.csv","Verified from Mission 5 summary","High","Counts are database-derived."
CH05-P004,Chronology Control,12,"Dates and times are presented only at the precision supported by the source; gaps are not filled by inference.","research/chronology/chronology_master.csv; research/chronology/chronology_uncertainties.csv; documentation/controlled_vocabulary.md","Methodological rule","High","Matches Mission 5 chronology rules."
CH05-P005,Chronology Control Table,14-28,"The chronology verification summary table reports verified, partially verified, unable-to-verify, and removed/unsupported event counts.","research/chronology/chronology_summary.md; research/chronology/chronology_master.csv","Verified from Mission 5 summary","High","Table is chapter-level summary."
CH05-P006,Pre-Discovery Context,32,"No verified or partially verified pre-1948 event is admitted into the master chronology.","research/chronology/chronology_by_period.md; research/chronology/chronology_summary.md","Verified from chronology register","High","Does not deny historical biography; only states repository admission status."
CH05-P007,Pre-Discovery Context,34,"The first admitted chronology entries begin on 30 November 1948 with transport-ticket evidence linked to property found on or with the body.","research/chronology/chronology_by_period.md; research/chronology/chronology_master.csv","Verified from chronology register","High","Route reconstruction is limited."
CH05-P008,Pre-Discovery Context,36,"Townsend was on duty from 6:15 a.m. to about 2:00 p.m.; the Henley Beach ticket was issued that day, but precise time and purchaser identity are unknown.","research/chronology/chronology_master.csv; research/chronology/event_source_map.csv; research/indexes/witness_index.csv","Verified / partially verified","High","Maps to CHR-0002 and CHR-0003."
CH05-P009,Pre-Discovery Context,38,"The bus ticket is tied to the Adelaide-Somerton route departing about 11:15 a.m., but holder, boarding point, and alighting point remain uncertain.","research/chronology/chronology_master.csv; research/chronology/event_source_map.csv; research/indexes/witness_index.csv","Verified with uncertainty","High","Maps to CHR-0004."
CH05-P010,Discovery at Somerton Beach,42,"At 7:00 p.m. on 30 November a man was seen lying where the body was later found and raising his right arm; identity continuity was not proven by facial identification.","research/chronology/chronology_master.csv; research/chronology/event_source_map.csv; research/indexes/witness_index.csv","Verified with stated limitation","High","Maps to CHR-0006."
CH05-P011,Discovery at Somerton Beach,44,"At about 7:30 p.m. a man and girl saw a man in the same place with no observed movement; this does not establish certainty that the person was the deceased.","research/chronology/chronology_master.csv; research/chronology/event_source_map.csv; research/indexes/witness_index.csv","Verified with stated limitation","High","Maps to CHR-0007."
CH05-P012,Discovery at Somerton Beach,46,"The absence of intervening witnesses between bus arrival and the 7:00 p.m. sighting is negative witness evidence, not proof of absence.","research/chronology/chronology_master.csv; research/chronology/chronology_uncertainties.csv","Partially verified","Moderate","Maps to CHR-0005."
CH05-P013,Discovery at Somerton Beach,48,"At about 7:00 a.m. on 1 December 1948 the body of an unknown man was found on the shore at Somerton Beach.","research/chronology/chronology_master.csv; research/chronology/event_source_map.csv","Verified","Very High","Maps to CHR-0009."
CH05-P014,Discovery at Somerton Beach,50,"Dr Bennett examined the body at about 9:40 a.m. and estimated death about eight hours earlier; medical time-of-death entries are approximate.","research/chronology/chronology_master.csv; research/chronology/event_source_map.csv; research/forensic_medical/time_of_death_register.csv","Partially verified","Moderate","Maps to CHR-0008 and CHR-0010."
CH05-P015,Initial Police Investigation,54,"The body was taken to the City Mortuary, but the exact transfer time is not established in the extracted chronology.","research/chronology/chronology_master.csv; research/chronology/event_source_map.csv","Verified with timing gap","High","Maps to CHR-0012."
CH05-P016,Initial Police Investigation,56,"The initial clothing search found transport tickets and small property, and the Tamam Shud slip was not found in that initial search.","research/chronology/chronology_master.csv; research/chronology/event_source_map.csv; research/indexes/exhibit_index.csv","Partially verified","High","Maps to CHR-0011."
CH05-P017,Initial Police Investigation,58,"Constable John Moss is indexed as a first responding police witness for body position, property search, visible condition, and transport details.","research/indexes/witness_index.csv; research/indexes/document_page_index.csv","Indexed primary-source testimony","High","Witness reliability reserved for later chapter."
