paragraph_id,chapter_section,lines,claim_summary,supporting_repository_assets,verification_status,confidence,notes
CH02-P001,Classification,4,"Chapter 2 is a methodological chapter documenting process, controls, and publication standards without assessing hypotheses or introducing evidence.","documentation/authoring/manuscript_authoring_guide.md; documentation/authoring/editorial_style_guide.md; documentation/authoring/chapter_completion_criteria.md; research/manuscript_blueprint/chapter_evidence_map.csv","Methodological statement","High","No case-specific factual claim introduced."
CH02-P002,Objectives,8,"The project separates evidence acquisition, claim verification, chronology reconstruction, forensic assessment, physical-evidence cataloguing, contextual analysis, and manuscript production into controlled stages.","documentation/PROJECT_ARCHITECTURE.md; research/manuscript_blueprint/manuscript_blueprint.md; research/publication/repository_freeze_report.md","Supported by project architecture","High","Summarizes completed workflow structure."
CH02-P003,Objectives,10,"The manuscript scope is limited to documented evidence, structured analysis, and identified intelligence gaps; unsupported material is not promoted to factual finding.","documentation/workflows/VERIFICATION_WORKFLOW.md; documentation/workflows/RESEARCH_WORKFLOW.md; documentation/authoring/manuscript_authoring_guide.md; research/manuscript_blueprint/excluded_or_downgraded_claims.csv","Supported by verification workflow","High","Matches repository claim-control standard."
CH02-P004,Objectives,12,"The repository is treated as the primary asset and manuscript statements should trace to claims, sources, documents, events, exhibits, people, locations, registers, or decisions.","documentation/PROJECT_ARCHITECTURE.md; research/database/README.md; research/database/decision_log.csv; documentation/governance/SOURCE_TRANSPARENCY_POLICY.md","Supported by repository architecture","High","Traceability statement only."
CH02-P005,Objectives,14,"The dossier is designed to preserve uncertainty, expose source limitations, and allow later correction when new records become available.","documentation/governance/SOURCE_TRANSPARENCY_POLICY.md; research/publication/repository_freeze_report.md; documentation/authoring/manuscript_authoring_guide.md","Supported by governance assets","High","No evidentiary conclusion introduced."
CH02-P006,Intelligence Dossier Methodology,18,"An intelligence-assessment model is used because the case contains incomplete records, contested interpretations, custody gaps, later media claims, and weakly evidenced contextual theories.","documentation/authoring/manuscript_authoring_guide.md; research/intelligence/source_reliability_matrix.csv; research/intelligence/evidence_weight_matrix.csv; research/manuscript_blueprint/manuscript_blueprint.md","Supported by authoring and intelligence framework","High","Methodological rationale, not a case finding."
CH02-P007,Intelligence Dossier Methodology,20,"The method is evidence-first, with source acquisition and cataloguing before claim promotion and primary records preferred over later summaries.","documentation/workflows/VERIFICATION_WORKFLOW.md; documentation/workflows/RESEARCH_WORKFLOW.md; research/intelligence/source_reliability_matrix.csv","Supported by verification workflow","High","Reflects source hierarchy."
CH02-P008,Intelligence Dossier Methodology,22,"Reproducibility is supported through registers, stable identifiers, metadata, preservation manifests, page indexes, evidence maps, and validation reports.","documentation/PROJECT_ARCHITECTURE.md; research/database/README.md; research/publication/repository_freeze_report.md; research/primary_sources/mission_3_summary.md","Supported by repository outputs","High","Repository architecture summary."
CH02-P009,Intelligence Dossier Methodology,24,"Transparency is maintained through source classes, confidence language, decision logging, and publication-readiness audits.","documentation/governance/SOURCE_TRANSPARENCY_POLICY.md; research/database/decision_log.csv; research/publication/repository_freeze_report.md","Supported by governance assets","High","No factual case claim introduced."
CH02-P010,Intelligence Dossier Methodology,26,"Conflicts are recorded rather than smoothed, negative findings are limited to the reviewed corpus, and contextual plausibility is not treated as case-specific proof.","documentation/workflows/VERIFICATION_WORKFLOW.md; documentation/authoring/editorial_style_guide.md; documentation/governance/SOURCE_TRANSPARENCY_POLICY.md","Supported by verification and style rules","High","Important uncertainty-control rule."
CH02-P011,Evidence Hierarchy,30-52,"The source hierarchy weights official and contemporary evidence above later synthesis while preserving limitations for every source class.","documentation/authoring/manuscript_authoring_guide.md; research/intelligence/source_reliability_matrix.csv; documentation/workflows/RESEARCH_WORKFLOW.md","Supported by source hierarchy assets","High","Table summarizes existing source-weighting framework."
CH02-P012,Verification Framework,56,"Claims from prior analytical material and later leads are assigned stable identifiers, classified, and mapped to source material before assessment.","documentation/workflows/VERIFICATION_WORKFLOW.md; research/verification/verification_matrix.csv; research/database/decision_log.csv","Supported by verification assets","High","Matches DEC-0001 treatment of prior PDF."
CH02-P013,Verification Framework,58,"The verification matrix records claim wording, status, supporting and contradictory documents, page references, summaries, confidence, questions, and recommended revision.","research/verification/verification_matrix.csv; documentation/workflows/VERIFICATION_WORKFLOW.md","Supported by verification matrix structure","High","Describes existing output fields."
CH02-P014,Verification Framework,60,"Verification statuses distinguish verified, partially verified, contradicted, unsupported, unresolved, and unable-to-verify claims.","documentation/workflows/VERIFICATION_WORKFLOW.md; research/verification/verification_summary.md","Supported by verification workflow","High","Terminology mirrors Mission 4 categories."
CH02-P015,Verification Framework,62,"Confidence reflects evidence quality rather than theory probability and is reduced for later reporting, OCR distortion, or incomplete reproduction.","documentation/workflows/VERIFICATION_WORKFLOW.md; documentation/authoring/manuscript_authoring_guide.md; research/intelligence/source_reliability_matrix.csv","Supported by confidence rules","High","Methodological statement only."
CH02-P016,Verification Framework,64,"Source conflicts are retained in conflict registers or relevant evidence matrices rather than resolved by assumption.","documentation/workflows/VERIFICATION_WORKFLOW.md; research/verification/conflicting_sources_register.csv; documentation/governance/SOURCE_TRANSPARENCY_POLICY.md","Supported by conflict-handling workflow","High","No conflict resolved in prose."
CH02-P017,Verification Framework,66,"Unsupported prior claims remain research history, controlled hypothesis material, or downgraded/excluded content rather than case evidence.","research/manuscript_blueprint/excluded_or_downgraded_claims.csv; research/database/decision_log.csv; documentation/workflows/VERIFICATION_WORKFLOW.md","Supported by project decision and exclusion assets","High","Preserves DEC-0001."
CH02-P018,Research Database,70-72,"The repository uses stable identifiers across source, evidence, person, location, timeline, intelligence-gap, hypothesis, image, research-question, and decision-log registers.","research/database/README.md; documentation/PROJECT_ARCHITECTURE.md; research/database/mission_2_summary.md","Supported by database documentation","High","Register summary only."
CH02-P019,Research Database,74,"The primary-source layer records archive details, authenticity, preservation metadata, restrictions, and document-to-claim mappings, including unavailable or restricted records.","research/primary_sources/primary_document_inventory.csv; research/primary_sources/digital_preservation_manifest.csv; research/primary_sources/restricted_unavailable_records.csv; research/primary_sources/document_claim_mapping.csv; research/primary_sources/mission_3_summary.md","Supported by primary-source outputs","High","No new source entered."
CH02-P020,Research Database,76,"The chronology layer records events with precision, related entities, source references, confidence, and uncertainty flags.","research/chronology/chronology_master.csv; research/chronology/chronology_uncertainties.csv; research/chronology/chronology_summary.md","Supported by chronology outputs","High","Methodological description of chronology."
CH02-P021,Research Database,78,"Witness and exhibit indexes provide page-level document indexing, witness/declarant records, exhibit/property records, transcription queues, and cross-reference maps.","research/indexes/document_page_index.csv; research/indexes/witness_index.csv; research/indexes/exhibit_index.csv; research/indexes/transcription_queue.csv; research/indexes/cross_reference_map.csv; research/indexes/mission_6_summary.md","Supported by indexing outputs","High","No testimonial conclusions introduced."
CH02-P022,Research Database,80,"The victimology layer records identity, movement, possessions, behaviour, relationships, and unknowns while separating documented observations from biographical leads.","research/victimology/victim_profile.md; research/victimology/movement_reconstruction.csv; research/victimology/possession_inventory.csv; research/victimology/relationship_map.csv; research/victimology/behavioural_profile.md; research/victimology/victimology_summary.md","Supported by victimology outputs","High","Layer description only."
CH02-P023,Research Database,82,"The forensic-medical layer records observations, toxicology issues, time-of-death statements, identifiers, uncertainties, and priority transcriptions.","research/forensic_medical/medical_observation_register.csv; research/forensic_medical/toxicology_register.csv; research/forensic_medical/time_of_death_register.csv; research/forensic_medical/forensic_identifiers_register.csv; research/forensic_medical/medical_uncertainties.csv; research/forensic_medical/forensic_medical_summary.md","Supported by forensic-medical outputs","High","No cause-of-death conclusion introduced."
CH02-P024,Research Database,84,"The physical-evidence layer records object entries, scene components, custody confidence, preservation history, source mapping, and unresolved physical-evidence questions.","research/physical_evidence/physical_evidence_catalogue.csv; research/physical_evidence/scene_reconstruction.csv; research/physical_evidence/chain_of_custody_confidence_matrix.csv; research/physical_evidence/evidence_preservation_history.csv; research/physical_evidence/physical_evidence_source_map.csv; research/physical_evidence/physical_evidence_uncertainties.csv; research/physical_evidence/physical_evidence_summary.md","Supported by physical-evidence outputs","High","Custody framework only."
CH02-P025,Research Database,86,"The intelligence layer records capability assessments, ACH, assumptions, indicators, source reliability, evidence weighting, confidence, and intelligence requirements.","research/intelligence/context_assessment.md; research/intelligence/analysis_of_competing_hypotheses.csv; research/intelligence/key_assumptions_check.csv; research/intelligence/indicators_and_signposts.csv; research/intelligence/source_reliability_matrix.csv; research/intelligence/evidence_weight_matrix.csv; research/intelligence/intelligence_confidence_register.csv; research/intelligence/intelligence_requirements.csv","Supported by intelligence outputs","High","Does not evaluate hypotheses in this chapter."
CH02-P026,Research Database,88,"The OSINT layer records public-source updates, reliability, conflicts, new questions, and recommended register updates without replacing required official records.","research/osint/executive_summary.md; research/osint/evidence_reliability_matrix.csv; research/osint/conflicts_with_previous_assessment.csv; research/osint/new_research_questions.csv; research/osint/recommended_updates_to_missions_1_10.md; research/osint/mission_11_summary.md","Supported by OSINT outputs","High","Update-layer description only."
CH02-P027,Structured Analytic Techniques,92-104,"Structured analytic techniques discipline inference through ACH, key assumptions, capability assessment, evidence weighting, confidence assessment, and intelligence requirements.","research/intelligence/analysis_of_competing_hypotheses.csv; research/intelligence/key_assumptions_check.csv; research/intelligence/capability_assessment.csv; research/intelligence/evidence_weight_matrix.csv; research/intelligence/intelligence_confidence_register.csv; research/intelligence/intelligence_requirements.csv","Supported by intelligence methodology assets","High","No preferred theory selected."
CH02-P028,Limitations,108,"The investigation is limited by unavailable and restricted records, including official custodian copies, police property records, full lab documentation, image rights, and some archival files.","research/primary_sources/restricted_unavailable_records.csv; research/publication/repository_freeze_report.md; research/publication/image_rights_register.csv","Supported by restrictions and freeze assets","High","Limitations statement only."
CH02-P029,Limitations,110,"OCR-dependent files require visual checking before exact wording carries interpretive weight.","documentation/governance/SOURCE_TRANSPARENCY_POLICY.md; research/indexes/transcription_queue.csv; documentation/authoring/manuscript_authoring_guide.md","Supported by source transparency and transcription workflow","High","No source text transcribed here."
CH02-P030,Limitations,112,"Copyright and archive restrictions require separation between describing/citing material and reproducing figures or documents.","research/publication/image_rights_register.csv; research/publication/repository_freeze_report.md; documentation/governance/SOURCE_TRANSPARENCY_POLICY.md","Supported by publication readiness assets","High","No figures inserted."
CH02-P031,Limitations,114-116,"Historical and research limitations are treated as constraints and intelligence gaps rather than silently absorbed into prose.","documentation/governance/SOURCE_TRANSPARENCY_POLICY.md; research/database/intelligence_gap_register.csv; research/intelligence/intelligence_requirements.csv","Supported by gap registers and governance","High","Uncertainty preservation."
CH02-P032,Ethics,120-126,"The manuscript must avoid theory advocacy, unsupported motive or guilt claims, sensational phrasing, unnecessary personal speculation, and opaque sourcing.","documentation/authoring/editorial_style_guide.md; documentation/governance/SOURCE_TRANSPARENCY_POLICY.md; documentation/governance/RESEARCH_ETHICS.md; documentation/authoring/manuscript_authoring_guide.md","Supported by ethics and style assets","High","Ethical framework only."
