Paragraph ID,Chapter Location,Paragraph Scope,Supporting Repository Assets,Support Type,Confidence,Notes
CH12-P001,Lines 4-4,Final synthesis classification,"research/intelligence/intelligence_confidence_register.csv; manuscript/chapter_reviews/chapter10_confidence_review.csv",Scope and confidence control,High,"Defines final chapter as synthesis only."
CH12-P002,Lines 8-12,Scope and cumulative method,"manuscript/chapters/01-executive-assessment.tex; manuscript/chapters/02-methodology.tex; research/manuscript_blueprint/manuscript_blueprint.md; research/database/decision_log.csv",Method summary,High,"No new research introduced."
CH12-P003,Lines 16-22,Principal findings prose,"research/chronology/chronology_master.csv; manuscript/chapter_reviews/chapter06_evidence_fact_check.csv; manuscript/chapter_reviews/chapter09_forensic_matrix.csv; manuscript/chapter_reviews/chapter10_ach_validation.csv; manuscript/chapter_reviews/chapter11_gap_matrix.csv",Synthesis,Moderate to High,"Separates established facts, supported inferences, hypotheses, and gaps."
CH12-P004,Lines 24-46,Final findings summary table,"research/verification/verification_matrix.csv; chapter06_evidence_fact_check.csv; chapter10_ach_validation.csv; chapter11_gap_matrix.csv",Matrix synthesis,High,"Table carries boundaries with each finding."
CH12-P005,Lines 50-56,Assessment of investigation strengths and limits,"research/manuscript_blueprint/mission_12_summary.md; manuscript/chapter_reviews/*.md; research/database/decision_log.csv",Repository assessment,High,"Distinguishes architecture completeness from case closure."
CH12-P006,Lines 60-62,Identity status,"research/publication/identity_status_guidance.md; research/intelligence/intelligence_confidence_register.csv ICA-001; manuscript/chapter_reviews/chapter08_identity_fact_check.csv",Controlled identity wording,High,"Mandatory wording used."
CH12-P007,Lines 66-70,Cause of death status,"research/forensic_medical/forensic_medical_summary.md; manuscript/chapter_reviews/chapter09_forensic_matrix.csv; research/forensic_medical/medical_uncertainties.csv",Forensic synthesis,High,"Preserves unresolved cause and no detected specific poison."
CH12-P008,Lines 74-78,Intelligence perspective,"research/intelligence/context_assessment.md; research/intelligence/intelligence_confidence_register.csv ICA-005; manuscript/chapter_reviews/chapter10_confidence_review.csv",Intelligence synthesis,High,"Historical capability not treated as case proof."
CH12-P009,Lines 82-88,Overall intelligence assessment by confidence,"research/intelligence/intelligence_confidence_register.csv; manuscript/chapter_reviews/chapter10_ach_validation.csv; manuscript/chapter_reviews/chapter11_gap_matrix.csv",Confidence synthesis,High,"No explanatory model promoted above the evidence."
CH12-P010,Lines 90-109,Confidence summary table,"research/intelligence/intelligence_confidence_register.csv; manuscript/chapter_reviews/chapter10_confidence_review.csv",Register extraction,High,"Table mirrors ICA fields."
CH12-P011,Lines 111-131,Evidence strength summary table,"chapter06_evidence_fact_check.csv; chapter08_identity_fact_check.csv; chapter09_forensic_matrix.csv; chapter10_confidence_review.csv",Evidence strength synthesis,High,"Rows preserve limitations."
CH12-P012,Lines 133-153,Outstanding requirements table,"research/intelligence/intelligence_requirements.csv",Register extraction,High,"All IR-001 through IR-007 included."
CH12-P013,Lines 157-163,Future maintenance and final concluding statement,"documentation/release_strategy.md if available; research/database/decision_log.csv DEC-0008; research/manuscript_blueprint/references_integration_plan.md; chapter11_future_research_register.csv",Publication maintenance synthesis,High,"Final paragraph follows requested content and preserves uncertainty."
