paragraph_id,chapter_section,lines,claim_summary,supporting_repository_assets,verification_status,confidence,notes
CH08-P001,Classification,4,"Chapter uses high confidence for source-mapped post-discovery observations and moderate/unknown status for OCR-dependent details, public-source identity research, and missing pre-death biography.","research/publication/identity_status_guidance.md; research/victimology/victimology_summary.md; manuscript/chapter_reviews/chapter08_victimology_matrix.csv","Methodological boundary","High","Webb attribution conditional."
CH08-P002,Victim Overview,8,"Subject is the unknown man found at Somerton; Somerton Man and Tamam Shud man are research labels, not original legal identity.","research/victimology/victim_profile.md; research/publication/controlled_vocabulary.csv","Verified nomenclature/status","High","Uses controlled vocabulary."
CH08-P003,Victim Overview,10,"Repository supports post-discovery victimology but not verified pre-death biography including birth, family, residence, employment, education, military service, finances, or associates.","research/victimology/victim_profile.md; research/victimology/victimology_summary.md","Supported by victimology summary","High","Completeness assessment."
CH08-P004,Victim Overview,12,"Mission 11 strengthens a researcher/lab-led Webb attribution, but no final coroner/SAPOL/FSSA report is acquired.","research/publication/identity_status_guidance.md; research/osint/executive_summary.md; research/osint/newly_identified_evidence.csv","Supported with official-status caveat","Moderate-High lead; official unknown","Core identity boundary."
CH08-P005,Victim Profile Summary Table,14-32,"Table summarizes identity, physical description, possessions, movements, and relationship confidence.","research/victimology/victim_profile.md; manuscript/chapter_reviews/chapter08_victimology_matrix.csv","Repository-derived summary","High","Required table."
CH08-P006,Physical Characteristics,36,"Dwyer described body as tallish, about 45 years, and in good physical condition; exact height/build not precisely measured in extracted pages.","research/victimology/victim_profile.md; research/forensic_medical/forensic_identifiers_register.csv","Partially verified","Moderate","FID-0007."
CH08-P007,Physical Characteristics,38,"Hair greying; eye colour not established; fingernails/feet care, left upper arm scar, uncertain vaccination mark, and right-hand abrasions recorded as observations.","research/victimology/victim_profile.md; research/forensic_medical/forensic_identifiers_register.csv","Partially verified","Moderate","FID-0008; eye colour unknown."
CH08-P008,Physical Characteristics,40,"Dwyer prepared dental chart; several teeth missing; chart requires specialist/manual transcription.","research/forensic_medical/forensic_identifiers_register.csv","Verified existence; exact notation limited","High/Moderate","FID-0001; FID-0002."
CH08-P009,Physical Characteristics,42,"Durham fingerprinted deceased and circulated copies; chart reproduction exists but original chart/logs/responses incomplete.","research/forensic_medical/forensic_identifiers_register.csv; research/victimology/possession_inventory.csv","Verified process; custody incomplete","High/Moderate","FID-0003; FID-0004; POS-0013."
CH08-P010,Lifestyle Indicators,46,"Clothing quality, body condition, cared-for nails/feet, shoes and clothing are observations, not social class, occupation, motive, planning, or habit conclusions.","research/victimology/behavioural_profile.md; research/victimology/victim_profile.md","Supported limitation","Moderate","No unsupported profiling."
CH08-P011,Lifestyle Indicators,48,"Possession records show body-property and suitcase inventory but not complete life history, occupation, or ownership in every case.","research/victimology/possession_inventory.csv; research/physical_evidence/physical_evidence_catalogue.csv","Supported with limitation","Moderate-High","POS entries."
CH08-P012,Lifestyle Indicators,50,"Rail and bus tickets are high-confidence property records but purchaser, holder, boarding, alighting, and full route remain unknown; suitcase depositor unknown.","research/victimology/movement_reconstruction.csv; research/victimology/possession_inventory.csv","Verified with uncertainty","High for records; unknown for holder","MOV-0001/MOV-0002; POS-0002/POS-0003."
CH08-P013,Lifestyle Indicators,52,"Habit evidence is weak: smoking suggested but habit-level wording requires manual transcription; grooming/cleanliness are observations only.","research/victimology/behavioural_profile.md","Partially verified/limited","Low-Moderate","No behaviour diagnosis."
CH08-P014,Lifestyle Indicators,54,"2s 6d cash entry is OCR-dependent and financial status is not established.","research/victimology/victim_profile.md; research/physical_evidence/physical_evidence_catalogue.csv","Low confidence","Low","PE-0033/POS context."
CH08-P015,Movement Reconstruction,58,"Movement reconstruction contains 11 records; first two are ticket records from 30 Nov with purchaser/holder unknown.","research/victimology/movement_reconstruction.csv","Verified from movement register","High for records","MOV-0001; MOV-0002."
CH08-P016,Movement Reconstruction,60,"Pre-7 p.m. interval is negative evidence only and does not prove absence.","research/victimology/movement_reconstruction.csv; research/chronology/chronology_uncertainties.csv","Partially verified","Moderate","MOV-0003."
CH08-P017,Movement Reconstruction,62,"Evening beach observations are high-confidence witness observations but identity continuity unresolved.","research/victimology/movement_reconstruction.csv; research/indexes/witness_index.csv","Verified observations with identity limitation","High/Moderate","MOV-0004; MOV-0005."
CH08-P018,Movement Reconstruction,64,"1 Dec and later movement entries are medical, discovery, transport, postmortem, and suitcase anchors, not a full pre-death route.","research/victimology/movement_reconstruction.csv; research/chronology/chronology_master.csv","Verified from movement/chronology","High","MOV-0006 to MOV-0011."
CH08-P019,Movement Reconstruction Table,66-93,"Movement table lists MOV-0001 through MOV-0011 with confidence and uncertainty.","research/victimology/movement_reconstruction.csv","Verified from movement register","High","Required table."
CH08-P020,Relationships,97,"Relationship map contains 18 entries, 14 of which are official/witness/transport/medical/investigative case-process contacts, not personal relationships.","research/victimology/relationship_map.csv","Verified from relationship map","High","REL-0001 to REL-0014."
CH08-P021,Relationships,99,"No verified family, friend, employer, or pre-death associate relationship established in acquired primary archive.","research/victimology/relationship_map.csv; research/victimology/victimology_summary.md","Verified gap","High","REL-0018."
CH08-P022,Relationships,101,"Jessica Thomson retained only as partially verified/unable-to-verify later-source connection; Robin Thomson not established as relationship to deceased.","research/victimology/relationship_map.csv; research/verification/verification_matrix.csv","Conditional/limited","Low-Moderate","REL-0016; no unsupported relationship."
CH08-P023,Relationships,103,"Alf Boxall retained as later Rubaiyat-related lead, not verified direct relationship to deceased.","research/victimology/relationship_map.csv; research/verification/verification_matrix.csv","Unable to verify","Low","REL-0017."
CH08-P024,Relationships,105,"Webb attribution is proposed modern identity, not relationship; Webb-related civil/family records remain conditional unless official confirmation acquired.","research/victimology/relationship_map.csv; research/publication/identity_status_guidance.md","Conditional identity lead","Moderate-High as lead","REL-0015."
CH08-P025,Relationship Map Table,107-122,"Relationship summary table classifies official contacts, modern identity attribution, Thomson/Boxall leads, and unknown family/friends/employer.","research/victimology/relationship_map.csv","Verified from relationship map","High","Required table."
CH08-P026,Identity Assessment,126,"Historic identification attempts include fingerprints, photos, dental charting, public circulation, and inquiry; 1949 record remained unidentified.","research/victimology/victim_profile.md; research/forensic_medical/forensic_identifiers_register.csv","Verified from registers","High","Historic ID attempts."
CH08-P027,Identity Assessment,128,"Mission 11 records Abbott July 2022 Webb announcement, DNA from plaster-bust hairs, Astrea 5 cm rootless hair account, and Fitzpatrick GEDmatch/family-tree reconstruction.","research/osint/newly_identified_evidence.csv; research/osint/evidence_reliability_matrix.csv","Public-source identity research","Moderate-High/Medium","M11-FND-0003 to M11-FND-0005."
CH08-P028,Identity Assessment,130,"Mission 11 records ABC civil-record details and 1951 Trove legal notice for Carl Webb, conditional on official identity confirmation.","research/osint/newly_identified_evidence.csv","Public-source/civil-record lead","Medium/High for notice; linkage conditional","M11-FND-0006; M11-FND-0007."
CH08-P029,Identity Assessment,132,"Repository lacks final coroner/SAPOL/FSSA determination; ABC 6 July 2026 status says SAPOL had not yet presented findings to coroner; no peer-reviewed public DNA paper or official coroner finding located.","research/osint/executive_summary.md; research/osint/newly_identified_evidence.csv; research/publication/identity_status_guidance.md","Verified current-status caveat","High for reporting/status; official unknown","M11-FND-0001; M11-FND-0016."
CH08-P030,Identity Assessment,134,"Controlled wording: researcher/lab-led Carl Charles Webb attribution pending official coroner/SAPOL determination; public DNA reporting not converted into legal identification.","research/publication/identity_status_guidance.md; research/publication/controlled_vocabulary.csv","Mandatory wording rule","High","DEC-0009 implied by guidance."
CH08-P031,Identity Timeline Table,136-151,"Table summarizes historic identification attempts, Rubaiyat leads, 2021 exhumation, 2022 Webb attribution, and 2025-2026 reporting status.","research/osint/newly_identified_evidence.csv; research/victimology/victim_profile.md; research/forensic_medical/forensic_identifiers_register.csv","Repository-derived summary","Moderate-High","Required identity timeline."
CH08-P032,Victimology Assessment,155,"Strongest known facts are post-discovery: unidentified male, clothing/property, tickets, witness observations, fingerprints, dental charting, photography, death mask/bust, and specimens.","research/victimology/victimology_summary.md; research/victimology/possession_inventory.csv","Supported synthesis","High","No cause/motive."
CH08-P033,Victimology Assessment,157,"Supported inferences are limited: tickets support movement leads, suitcase supports association lead, appearance supports description, Tamam Shud placement documented but intent unknown.","research/victimology/victimology_summary.md; research/physical_evidence/physical_evidence_summary.md","Supported inference with caveat","Moderate","No speculation."
CH08-P034,Victimology Assessment,159,"Modern identity research provides strong public Webb lead, not project-verified legal identity; Webb civil/family records remain conditional.","research/publication/identity_status_guidance.md; research/osint/executive_summary.md","Conditional modern attribution","Moderate-High lead","Official gap retained."
CH08-P035,Victimology Assessment,161,"Largest unknowns are pre-death biography, official identity status, exact movements, personal relationships, residence, employment, finances, purpose at Somerton, and evening sighting identity continuity.","research/victimology/victimology_summary.md; research/intelligence/intelligence_requirements.csv","Gap synthesis","High","Victimology gaps."
CH08-P036,Victimology Confidence Matrix Table,163-180,"Table summarizes confidence for identity status, physical description, possessions, movement, relationships, Webb attribution, and pre-death biography.","manuscript/chapter_reviews/chapter08_victimology_matrix.csv","Derived chapter matrix","High","Required table."
