paragraph_id,chapter_section,lines,claim_summary,supporting_repository_assets,verification_status,confidence,notes
CH03-P001,Classification,4,"Chapter 3 is a corpus-description chapter that describes the evidence base and limits without interpreting evidence or evaluating hypotheses.","documentation/authoring/manuscript_authoring_guide.md; documentation/authoring/editorial_style_guide.md; documentation/authoring/chapter_completion_criteria.md","Methodological boundary","High","No case conclusion introduced."
CH03-P002,Overview of the Research Corpus,8,"The chapter describes what the project holds, catalogues, classifies, and records as incomplete; factual reconstruction is deferred.","research/manuscript_blueprint/manuscript_blueprint.md; documentation/authoring/manuscript_authoring_guide.md; documentation/authoring/manuscript_consistency_rules.md","Supported by authoring framework","High","Chapter-scope statement only."
CH03-P003,Overview of the Research Corpus,10,"The frozen corpus contains 24 source-register entries, 23 primary-document inventory records, 63 audited bibliography records, 18 evidence-register items, 9 image leads, and 10 planned figure entries requiring rights or replacement review.","research/database/source_register.csv; research/primary_sources/primary_document_inventory.csv; research/publication/reference_audit.csv; research/database/evidence_register.csv; research/database/image_catalogue.csv; research/publication/figure_rights_register.csv; research/publication/repository_freeze_report.md","Verified repository counts","High","Counts derived from frozen registers."
CH03-P004,Overview of the Research Corpus,12,"The corpus combines official references, public primary-source reproductions, contemporary newspapers, modern reporting, academic/professional material, institutional guides, image leads, physical-evidence entries, and project governance records.","research/database/source_register.csv; research/primary_sources/primary_document_inventory.csv; research/publication/reference_audit.csv; research/database/mission_2_summary.md","Supported by source and reference registers","High","Describes source types, not case findings."
CH03-P005,Overview of the Research Corpus,14,"Most acquired primary-source files are public reproductions from the Abbott archive rather than certified copies from original repositories; direct official copies remain preferable where available.","research/primary_sources/primary_document_inventory.csv; research/primary_sources/README.md; research/primary_sources/mission_3_summary.md","Supported by primary-source inventory","High","Authenticity caveat preserved."
CH03-P006,Corpus Summary Table,16-32,"Table summarizes repository counts and evidentiary roles for source, document, reference, evidence, image, and figure-planning assets.","research/database/source_register.csv; research/primary_sources/primary_document_inventory.csv; research/publication/reference_audit.csv; research/database/evidence_register.csv; research/database/image_catalogue.csv; research/publication/figure_rights_register.csv","Verified repository counts","High","No figures inserted."
CH03-P007,Primary Sources,36,"Primary-source material includes coronial records, police records, death-certificate material, official statements, evidence images, fingerprint and dental charts, directory extracts, and public legal/government records.","research/database/source_register.csv; research/primary_sources/primary_document_inventory.csv; research/publication/reference_audit.csv","Supported by source inventories","High","General classification statement."
CH03-P008,Primary Sources,38,"The primary-document inventory has 23 records: 19 acquired local digital copies, 4 located but not acquired, 22 later reproductions, and 1 certified copy.","research/primary_sources/primary_document_inventory.csv; research/primary_sources/mission_3_summary.md","Verified repository counts","High","Counts derived from inventory fields."
CH03-P009,Primary Sources,40,"Highest-priority working documents include inquest reproductions, death certificate, CIB reports, police-file extract, fingerprint and tooth charts, and Rubaiyat code image.","research/primary_sources/primary_document_inventory.csv; research/primary_sources/mission_3_summary.md","Supported by primary-source inventory","High","Describes priority records already catalogued."
CH03-P010,Primary Sources Table,42-56,"Table summarizes acquired/located and authenticity status for primary-document inventory records.","research/primary_sources/primary_document_inventory.csv","Verified repository counts","High","Table compiles in standalone chapter check."
